開催日,日目,レース,実際1号艇1着,実際3連単,予測3連単,予測確率,予測元,3連単的中,TOP10
2025-01-01,3,1,1,1-2-4,1-2-4,0.22681182877373923,1着1号艇予想,True,1-2-4(0.2268) / 1-2-6(0.1454) / 1-4-2(0.1262) / 1-2-3(0.0999) / 1-2-5(0.0756) / 1-6-2(0.0747) / 1-3-2(0.0493) / 1-5-2(0.0365) / 4-1-2(0.0361) / 2-1-4(0.0302)
2025-01-01,3,3,1,1-2-3,1-5-4,0.23818574164339384,1着1号艇予想,False,1-5-4(0.2382) / 1-4-5(0.2031) / 1-5-2(0.1255) / 5-4-1(0.1050) / 4-5-1(0.1026) / 1-2-5(0.0872) / 5-4-2(0.0822) / 1-4-2(0.0818) / 4-5-2(0.0803) / 1-2-4(0.0667)
2025-01-01,3,4,1,1-5-6,1-5-3,0.1944341381472254,1着1号艇予想,False,1-5-3(0.1944) / 1-3-5(0.1865) / 1-5-2(0.0832) / 5-3-2(0.0764) / 1-5-6(0.0744) / 1-3-2(0.0739) / 5-2-3(0.0721) / 1-3-6(0.0661) / 1-2-5(0.0618) / 1-2-3(0.0572)
2025-01-01,3,5,1,1-4-3,1-5-3,0.1537792572828817,1着1号艇予想,False,1-5-3(0.1538) / 1-3-5(0.1431) / 1-5-4(0.0944) / 1-5-6(0.0844) / 1-4-5(0.0757) / 1-3-4(0.0753) / 1-3-6(0.0674) / 1-6-5(0.0661) / 1-4-3(0.0649) / 1-6-3(0.0567)
2025-01-01,3,6,1,1-4-6,1-4-3,0.3591328655212929,1着1号艇予想,False,1-4-3(0.3591) / 1-4-6(0.2523) / 1-3-4(0.1300) / 4-3-6(0.1108) / 4-3-1(0.0914) / 1-6-4(0.0865) / 1-4-2(0.0779) / 3-4-6(0.0765) / 4-3-2(0.0738) / 3-4-1(0.0631)
2025-01-01,3,7,0,2-5-3,1-5-6,0.2185489901992344,1着1号艇予想,False,1-5-6(0.2185) / 1-5-2(0.1783) / 1-6-5(0.1169) / 1-2-5(0.0918) / 1-5-3(0.0910) / 1-5-4(0.0700) / 5-1-2(0.0554) / 1-3-5(0.0434) / 5-2-1(0.0421) / 2-1-5(0.0417)
2025-01-01,3,8,1,1-5-3,1-5-3,0.07688094423418834,1着1号艇予想,True,1-5-3(0.0769) / 1-3-5(0.0758) / 1-5-2(0.0679) / 1-2-5(0.0647) / 1-3-2(0.0641) / 1-2-3(0.0619) / 1-5-6(0.0592) / 1-3-6(0.0558) / 1-6-5(0.0545) / 1-6-3(0.0521)
2025-01-01,3,9,0,2-1-4,1-5-3,0.21780915346939636,1着1号艇予想,False,1-5-3(0.2178) / 1-3-5(0.1466) / 1-5-2(0.1033) / 1-5-6(0.1002) / 1-5-4(0.0622) / 1-2-5(0.0600) / 2-3-5(0.0582) / 1-6-5(0.0579) / 3-2-5(0.0495) / 2-3-1(0.0492)
2025-01-01,3,10,1,1-2-3,1-2-3,0.39591581374380724,1着1号艇予想,True,1-2-3(0.3959) / 2-1-3(0.2750) / 1-3-2(0.1841) / 1-2-5(0.1178) / 2-3-1(0.1164) / 1-2-6(0.0874) / 2-1-5(0.0802) / 2-1-6(0.0639) / 1-5-2(0.0456) / 3-2-1(0.0427)
2025-01-01,3,12,0,2-1-3,1-2-5,0.27202315687324036,1着1号艇予想,False,1-2-5(0.2720) / 1-5-2(0.1744) / 1-2-6(0.1286) / 1-2-3(0.1008) / 1-6-2(0.0701) / 5-2-6(0.0548) / 5-2-1(0.0547) / 1-3-2(0.0533) / 5-6-2(0.0451) / 5-1-2(0.0450)
